event_id,name_clean,url,starts_at,start_year,start_month,start_dow,start_hour,season,is_weekend,holiday,category,city,price,is_free,ad_budget,capacity,lead_days,registrations,participants
24598,Восход солнца,https://artyfarty.timepad.ru/event/24598/,2022-04-30T00:00:00+0300,2022,4,4,21,spring,1,0,Не указано,Другие,0,1,2454,49,13,47,32
337530,Избавиться от стресса за 1 час - Мастер-класс,https://stolichnyy-gorod.timepad.ru/event/337530/,2019-12-21T17:00:00+0300,2019,12,5,14,winter,1,0,Психология и самопознание,Санкт-Петербург,650,0,5024,44,17,38,32
409457,Грандиозное шоу на теплоходе Рио-4 Музклуба МариСтО.,https://club-teatra.timepad.ru/event/409457/,2020-07-05T12:00:00+0300,2020,7,6,9,summer,1,0,Экскурсии и путешествия,Другие,750,0,2851,15,19,12,10
483633,Пир-Коучинг равных и интервизия: межрегиональная еженедельная практика в кругу коучей и коучинг ориентированных экспертов,https://NovosibirskCoachingClub.timepad.ru/event/483633/,2020-10-10T19:00:00+0300,2020,10,5,16,autumn,1,0,Другие события,Другие,0,1,3616,49,18,56,42
685268,Игра-тренинг Денежный поток,https://ekaterina-rotmistrova.timepad.ru/event/685268/,2020-02-08T14:00:00+0300,2020,2,5,11,winter,1,0,Интеллектуальные игры,Москва,650,0,7844,54,17,52,45
793712,Онлайн-курс «ВЭД — это просто!»,https://shkola-ved.timepad.ru/event/793712/,2020-01-01T00:00:00+0300,2019,12,1,21,winter,0,0,Другие события,Другие,0,1,2772,35,21,39,26
844771,Ярмарка волонтерских вакансий за границей. Более 30 000 программ в 193 странах.,https://crowdhelpers.timepad.ru/event/844771/,2021-07-03T12:00:00+0300,2021,7,5,9,summer,1,0,Экскурсии и путешествия,Другие,0,1,2608,21,33,29,18
933727,Онлайн-курс «Юридические навыки самообороны для бизнеса»,https://shkola-ved.timepad.ru/event/933727/,2020-01-01T00:00:00+0300,2019,12,1,21,winter,0,0,Другие события,Другие,0,1,2685,33,33,41,24
980421,Волонтерская мастерская,https://namoscow.timepad.ru/event/980421/,2020-09-25T19:15:00+0300,2020,9,4,16,autumn,0,0,Гражданские проекты,Москва,0,1,13445,130,16,127,89
1026107,Консультация дизайнера интерьера Елены Ивановой,https://interier-salon-etazh.timepad.ru/event/1026107/,2019-08-01T12:00:00+0300,2019,8,3,9,summer,0,0,Хобби и творчество,Казань,450,0,2663,10,15,10,8
1033387,КОСМОС В КОЛБЕ  научный спектакль,https://yesnauka.timepad.ru/event/1033387/,2020-10-04T13:00:00+0300,2020,10,6,10,autumn,1,0,Для детей,Санкт-Петербург,0,1,7880,44,40,57,33
1066092,"Семинар «Специалист по компенсациям и льготам: бюджетирование затрат на персонал, разработка систем оплаты труда, нормирование, управление фондом оплаты труда»",https://bvkurse.timepad.ru/event/1066092/,2020-03-30T10:00:00+0300,2020,3,0,7,spring,0,0,Бизнес,Другие,2100,0,3468,17,46,16,13
1070084,"Public Talk от проекта Узнай Москву ""Сохранение культурного наследия столицы""",https://workshop-um.timepad.ru/event/1070084/,2019-09-22T16:30:00+0300,2019,9,6,13,autumn,1,0,Искусство и культура,Омск,0,1,10395,132,24,141,85
1095592,Кинопоказ Здесь курят,https://lpr-omsk.timepad.ru/event/1095592/,2019-11-16T18:00:00+0300,2019,11,5,15,autumn,1,0,Гражданские проекты,Другие,0,1,5164,68,16,76,56
1105535,Стипендия George Mason University с поступлением в январе 2020г.,https://intellectual.timepad.ru/event/1105535/,2019-08-30T10:00:00+0300,2019,8,4,7,summer,0,0,Образование за рубежом,Казань,0,1,2436,21,36,21,14
1106553,Стипендия от Marshall University с поступлением в январе 2020г.,https://intellectual.timepad.ru/event/1106553/,2019-09-30T10:00:00+0300,2019,9,0,7,autumn,0,0,Образование за рубежом,Москва,0,1,2717,30,20,32,23
1106593,ПУТЕШЕСТВИЕ как способ трансформации,https://aleksandr-udalov-org.timepad.ru/event/1106593/,2019-11-06T18:00:00+0300,2019,11,2,15,autumn,0,0,Экскурсии и путешествия,Екатеринбург,650,0,2093,16,6,14,13
1106602,"Клуб ""Без дураков"". Умные игры в Москве. Открытая лига. 7 ноября (четверг)",https://bezdurakov.timepad.ru/event/1106602/,2019-11-07T20:00:00+0300,2019,11,3,17,autumn,0,0,Интеллектуальные игры,Москва,550,0,8498,53,14,49,42
1106607,Симфонический концерт для детей «День в истории»,https://tauridaorchestra.timepad.ru/event/1106607/,2019-11-04T12:00:00+0300,2019,11,0,9,autumn,0,1,Для детей,Другие,0,1,2143,21,24,23,14
1106620,Музыкально-поэтический вечер,https://zhivoe-slovo.timepad.ru/event/1106620/,2019-11-03T19:00:00+0300,2019,11,6,16,autumn,1,0,Искусство и культура,Омск,0,1,11841,131,27,147,88
1106631,Российские гаражисты. Знакомства вслепую.,https://winebar-garagiste.timepad.ru/event/1106631/,2019-11-06T19:30:00+0300,2019,11,2,16,autumn,0,0,Другие развлечения,Другие,400,0,3165,45,44,36,30
1106633,Праздник Самайн,https://drevo-mira-event.timepad.ru/event/1106633/,2019-11-01T00:00:00+0300,2019,10,3,21,autumn,0,0,Психология и самопознание,Санкт-Петербург,0,1,2602,51,24,62,37
1106635,Практика Таро!!!,https://drevo-mira-event.timepad.ru/event/1106635/,2019-11-07T19:30:00+0300,2019,11,3,16,autumn,0,0,Психология и самопознание,Другие,450,0,1917,24,15,23,19
