event_id,name_clean,url,starts_at,start_year,start_month,start_dow,start_hour,season,is_weekend,holiday,category,city,price,is_free,ad_budget,capacity,lead_days,registrations,participants
24598,Восход солнца,https://artyfarty.timepad.ru/event/24598/,2022-04-30T00:00:00+0300,2022,4,4,21,spring,1,0,Не указано,Другие,681,0,22030,157,11,63,62
337530,Избавиться от стресса за 1 час - Мастер-класс,https://stolichnyy-gorod.timepad.ru/event/337530/,2019-12-21T17:00:00+0300,2019,12,5,14,winter,1,0,Психология и самопознание,Санкт-Петербург,0,1,2710,146,38,109,114
409457,Грандиозное шоу на теплоходе Рио-4 Музклуба МариСтО.,https://club-teatra.timepad.ru/event/409457/,2020-07-05T12:00:00+0300,2020,7,6,9,summer,1,0,Экскурсии и путешествия,Другие,0,1,8840,223,12,144,113
483633,Пир-Коучинг равных и интервизия: межрегиональная еженедельная практика в кругу коучей и коучинг ориентированных экспертов,https://NovosibirskCoachingClub.timepad.ru/event/483633/,2020-10-10T19:00:00+0300,2020,10,5,16,autumn,1,0,Другие события,Другие,0,1,3460,541,18,354,325
685268,Игра-тренинг Денежный поток,https://ekaterina-rotmistrova.timepad.ru/event/685268/,2020-02-08T14:00:00+0300,2020,2,5,11,winter,1,0,Интеллектуальные игры,Москва,2749,0,215920,320,10,151,145
793712,Онлайн-курс «ВЭД — это просто!»,https://shkola-ved.timepad.ru/event/793712/,2020-01-01T00:00:00+0300,2019,12,1,21,winter,0,0,Другие события,Другие,0,1,5870,206,9,123,76
844771,Ярмарка волонтерских вакансий за границей. Более 30 000 программ в 193 странах.,https://crowdhelpers.timepad.ru/event/844771/,2021-07-03T12:00:00+0300,2021,7,5,9,summer,1,0,Экскурсии и путешествия,Другие,0,1,6170,217,17,142,139
933727,Онлайн-курс «Юридические навыки самообороны для бизнеса»,https://shkola-ved.timepad.ru/event/933727/,2020-01-01T00:00:00+0300,2019,12,1,21,winter,0,0,Другие события,Другие,0,1,4640,196,22,125,98
980421,Волонтерская мастерская,https://namoscow.timepad.ru/event/980421/,2020-09-25T19:15:00+0300,2020,9,4,16,autumn,0,0,Гражданские проекты,Москва,0,1,7490,225,29,167,144
1026107,Консультация дизайнера интерьера Елены Ивановой,https://interier-salon-etazh.timepad.ru/event/1026107/,2019-08-01T12:00:00+0300,2019,8,3,9,summer,0,0,Хобби и творчество,Казань,2082,0,105840,420,12,139,134
1033387,КОСМОС В КОЛБЕ  научный спектакль,https://yesnauka.timepad.ru/event/1033387/,2020-10-04T13:00:00+0300,2020,10,6,10,autumn,1,0,Для детей,Санкт-Петербург,0,1,8170,91,12,67,65
1066092,"Семинар «Специалист по компенсациям и льготам: бюджетирование затрат на персонал, разработка систем оплаты труда, нормирование, управление фондом оплаты труда»",https://bvkurse.timepad.ru/event/1066092/,2020-03-30T10:00:00+0300,2020,3,0,7,spring,0,0,Бизнес,Другие,0,1,33750,790,31,560,360
1070084,"Public Talk от проекта Узнай Москву ""Сохранение культурного наследия столицы""",https://workshop-um.timepad.ru/event/1070084/,2019-09-22T16:30:00+0300,2019,9,6,13,autumn,1,0,Искусство и культура,Омск,0,1,9350,941,34,692,557
1095592,Кинопоказ Здесь курят,https://lpr-omsk.timepad.ru/event/1095592/,2019-11-16T18:00:00+0300,2019,11,5,15,autumn,1,0,Гражданские проекты,Другие,2420,0,46520,309,17,115,81
1105535,Стипендия George Mason University с поступлением в январе 2020г.,https://intellectual.timepad.ru/event/1105535/,2019-08-30T10:00:00+0300,2019,8,4,7,summer,0,0,Образование за рубежом,Казань,2759,0,162560,179,23,65,54
1106553,Стипендия от Marshall University с поступлением в январе 2020г.,https://intellectual.timepad.ru/event/1106553/,2019-09-30T10:00:00+0300,2019,9,0,7,autumn,0,0,Образование за рубежом,Москва,0,1,4200,535,35,399,185
1106593,ПУТЕШЕСТВИЕ как способ трансформации,https://aleksandr-udalov-org.timepad.ru/event/1106593/,2019-11-06T18:00:00+0300,2019,11,2,15,autumn,0,0,Экскурсии и путешествия,Екатеринбург,0,1,5820,282,44,211,166
1106602,"Клуб ""Без дураков"". Умные игры в Москве. Открытая лига. 7 ноября (четверг)",https://bezdurakov.timepad.ru/event/1106602/,2019-11-07T20:00:00+0300,2019,11,3,17,autumn,0,0,Интеллектуальные игры,Москва,2133,0,76250,211,22,95,97
1106607,Симфонический концерт для детей «День в истории»,https://tauridaorchestra.timepad.ru/event/1106607/,2019-11-04T12:00:00+0300,2019,11,0,9,autumn,0,1,Для детей,Другие,0,1,3640,154,26,107,93
1106620,Музыкально-поэтический вечер,https://zhivoe-slovo.timepad.ru/event/1106620/,2019-11-03T19:00:00+0300,2019,11,6,16,autumn,1,0,Искусство и культура,Омск,1229,0,20160,226,19,90,80
1106631,Российские гаражисты. Знакомства вслепую.,https://winebar-garagiste.timepad.ru/event/1106631/,2019-11-06T19:30:00+0300,2019,11,2,16,autumn,0,0,Другие развлечения,Другие,0,1,6670,314,3,180,98
1106633,Праздник Самайн,https://drevo-mira-event.timepad.ru/event/1106633/,2019-11-01T00:00:00+0300,2019,10,3,21,autumn,0,0,Психология и самопознание,Санкт-Петербург,0,1,5780,363,21,243,161
1106635,Практика Таро!!!,https://drevo-mira-event.timepad.ru/event/1106635/,2019-11-07T19:30:00+0300,2019,11,3,16,autumn,0,0,Психология и самопознание,Другие,0,1,7810,259,32,170,170
