event_id,name,url,created_at,starts_at,ends_at,year,weekday,month,season,hour,is_weekend,city,address,category_id,category,age_limit,properties,moderation_status,access_status,org_id,org_name,tickets_limit,tickets_total,is_registration_open,min_price,max_price,is_free,sold,attended,participants,duration_hours,lead_days
337530,Избавиться от стресса за 1 час - Мастер-класс,https://stolichnyy-gorod.timepad.ru/event/337530/,,2019-12-21T17:00:00+0300,,2019,5,12,winter,17,1,,,453,Психология и самопознание,,,shown,,,,,,,0.0,0.0,1,,,,,
1026107,Консультация дизайнера интерьера Елены Ивановой,https://interier-salon-etazh.timepad.ru/event/1026107/,,2019-08-01T12:00:00+0300,,2019,3,8,summer,12,0,,,524,Хобби и творчество,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1070084,Public Talk от проекта Узнай Москву &quot;Сохранение культурного наследия столицы&quot;,https://workshop-um.timepad.ru/event/1070084/,,2019-09-22T16:30:00+0300,,2019,6,9,autumn,16,1,,,525,Искусство и культура,,,shown,,,,,,,0.0,0.0,1,,,,,
1095592,Кинопоказ Здесь курят,https://lpr-omsk.timepad.ru/event/1095592/,,2019-11-16T18:00:00+0300,,2019,5,11,autumn,18,1,,,1940,Гражданские проекты,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1105535,Стипендия George Mason University с поступлением в январе 2020г.,https://intellectual.timepad.ru/event/1105535/,,2019-08-30T10:00:00+0300,,2019,4,8,summer,10,0,,,1315,Образование за рубежом,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106553,Стипендия от Marshall University с поступлением в январе 2020г.,https://intellectual.timepad.ru/event/1106553/,,2019-09-30T10:00:00+0300,,2019,0,9,autumn,10,0,,,1315,Образование за рубежом,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106593,ПУТЕШЕСТВИЕ как способ трансформации,https://aleksandr-udalov-org.timepad.ru/event/1106593/,,2019-11-06T18:00:00+0300,,2019,2,11,autumn,18,0,,,461,Экскурсии и путешествия,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106602,Клуб &quot;Без дураков&quot;. Умные игры в Москве. Открытая лига. 7 ноября (четверг),https://bezdurakov.timepad.ru/event/1106602/,,2019-11-07T20:00:00+0300,,2019,3,11,autumn,20,0,,,2335,Интеллектуальные игры,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106607,Симфонический концерт для детей «День в истории»,https://tauridaorchestra.timepad.ru/event/1106607/,,2019-11-04T12:00:00+0300,,2019,0,11,autumn,12,0,,,379,Для детей,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106620,Музыкально-поэтический вечер,https://zhivoe-slovo.timepad.ru/event/1106620/,,2019-11-03T19:00:00+0300,,2019,6,11,autumn,19,1,,,525,Искусство и культура,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106631,Российские гаражисты. Знакомства вслепую.,https://winebar-garagiste.timepad.ru/event/1106631/,,2019-11-06T19:30:00+0300,,2019,2,11,autumn,19,0,,,463,Другие развлечения,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106633,Праздник Самайн,https://drevo-mira-event.timepad.ru/event/1106633/,,2019-11-01T00:00:00+0300,,2019,4,11,autumn,0,0,,,453,Психология и самопознание,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106635,Практика Таро!!!,https://drevo-mira-event.timepad.ru/event/1106635/,,2019-11-07T19:30:00+0300,,2019,3,11,autumn,19,0,,,453,Психология и самопознание,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106638,Первоклассник в развивающем обучении,https://np-avtorskiy-klub.timepad.ru/event/1106638/,,2019-11-03T14:00:00+0300,,2019,6,11,autumn,14,1,,,462,Другие события,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106660,"Онлайн курс «Таро Книга Теней», I ступень",https://drevo-mira-event.timepad.ru/event/1106660/,,2019-11-01T00:00:00+0300,,2019,4,11,autumn,0,0,,,453,Психология и самопознание,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106678,"Онлайн курс «Таро Книга Теней», III ступень",https://drevo-mira-event.timepad.ru/event/1106678/,,2019-11-01T00:00:00+0300,,2019,4,11,autumn,0,0,,,453,Психология и самопознание,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106686,Фантазия-шутка «Ничего на свете лучше нету» по мотивам мультфильма «Бременские музыканты»,https://myhistoryperm--events.timepad.ru/event/1106686/,,2019-11-03T20:30:00+0300,,2019,6,11,autumn,20,1,,,459,Театры,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106727,Culture Café: Ecuador,https://esn-hse-moscow.timepad.ru/event/1106727/,,2019-11-06T18:30:00+0300,,2019,2,11,autumn,18,0,,,462,Другие события,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106745,Психологическая трансформационная игра &quot;Женское счастье&quot;,https://pmkmozaika.timepad.ru/event/1106745/,,2019-11-05T17:00:00+0300,,2019,1,11,autumn,17,0,,,453,Психология и самопознание,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106746,Открытие магазина Меха Елизаветы,https://meha-elizavety.timepad.ru/event/1106746/,,2019-11-02T14:00:00+0300,,2019,5,11,autumn,14,1,,,458,Выставки,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106761,Психологическая трансформационная игра для мужчин &quot;Перезагрузка&quot;,https://pmkmozaika.timepad.ru/event/1106761/,,2019-11-05T17:00:00+0300,,2019,1,11,autumn,17,0,,,453,Психология и самопознание,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106774,Вкус имеет значение,https://kinoklub-valeriya-shanina.timepad.ru/event/1106774/,,2019-11-07T19:00:00+0300,,2019,3,11,autumn,19,0,,,374,Кино,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106809,"English Club: киносеансы на английском с обсуждением (Coco 6+, Jumanji 12+)",https://antikafe-zhuchki-pauchki.timepad.ru/event/1106809/,,2019-11-03T00:00:00+0300,,2019,6,11,autumn,0,1,,,382,Иностранные языки,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106838,Концерт импровизационной музыки от Алексея Морозова и Samba Real,https://samba-real.timepad.ru/event/1106838/,,2019-11-03T19:00:00+0300,,2019,6,11,autumn,19,1,,,460,Концерты,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106840,Экскурсия в Ячейку F и Дом Гинзбурга,https://flatunitf.timepad.ru/event/1106840/,,2019-11-03T14:00:00+0300,,2019,6,11,autumn,14,1,,,461,Экскурсии и путешествия,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106843,Мастер-класс для детей «Домашнее тепло»,https://spb-energy.timepad.ru/event/1106843/,,2019-11-02T12:00:00+0300,,2019,5,11,autumn,12,1,,,379,Для детей,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106846,Лекция Дениса Серикова «Как создать популярный медиапродукт»,https://hsscm-mgu.timepad.ru/event/1106846/,,2019-11-07T12:55:00+0300,,2019,3,11,autumn,12,0,,,525,Искусство и культура,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106856,Кто живет в далёких джунглях? Творческая мастерская Ани Стёпиной,https://zilcc.timepad.ru/event/1106856/,,2019-11-05T17:00:00+0300,,2019,1,11,autumn,17,0,,,379,Для детей,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106865,"Кинопоказ, рассказ, обсуждение фильма &quot;Рок-волна&quot;",https://posredstvennyy-kinoklub.timepad.ru/event/1106865/,,2019-11-07T19:00:00+0300,,2019,3,11,autumn,19,0,,,374,Кино,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106883,Stand-Up Открытый Микрофон в Crafter,https://comedyfree.timepad.ru/event/1106883/,,2019-11-04T19:30:00+0300,,2019,0,11,autumn,19,0,,,463,Другие развлечения,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106890,Менеджмент в креативном бизнесе и рекламе,https://tele2-event.timepad.ru/event/1106890/,,2019-11-05T19:00:00+0300,,2019,1,11,autumn,19,0,,,462,Другие события,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106922,Ночь искусств - 2019. Город вокруг нас.,https://gbuk-g-moskvy-tsbs-yu-gal.timepad.ru/event/1106922/,,2019-11-03T17:00:00+0300,,2019,6,11,autumn,17,1,,,525,Искусство и культура,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106933,Завтрак для предпринимателей в IKEA. Нетворкинг.,https://verislav.timepad.ru/event/1106933/,,2019-11-06T09:00:00+0300,,2019,2,11,autumn,9,0,,,217,Бизнес,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106937,ПУТЕШЕСТВИЕ КАК СПОСОБ ТРАНСФОРМАЦИИ,https://travellibrary.timepad.ru/event/1106937/,,2019-11-08T19:00:00+0300,,2019,4,11,autumn,19,0,,,461,Экскурсии и путешествия,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106950,Кураторская экскурсия «Реконструкция книжного собрания князя Н. Б. Юсупова: первые итоги и полезные уроки»,https://leninka.timepad.ru/event/1106950/,,2019-11-06T18:00:00+0300,,2019,2,11,autumn,18,0,,,525,Искусство и культура,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106959,Product Mindset Kyiv Meetup #3 | Генерация и проверка гипотез,https://product-mindset-kyiv.timepad.ru/event/1106959/,,2019-11-05T19:30:00+0300,,2019,1,11,autumn,19,0,,,452,ИТ и интернет,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106970,ПСИХОЛОГИЧЕСКИЙ КИНОКЛУБ С НАТАЛЬЕЙ НИСМАН,https://bukvodom-v-parke-sokolnik.timepad.ru/event/1106970/,,2019-11-03T17:00:00+0300,,2019,6,11,autumn,17,1,,,374,Кино,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1106991,Читаем для собачки Аси,https://detilibfl.timepad.ru/event/1106991/,,2019-11-05T17:00:00+0300,,2019,1,11,autumn,17,0,,,379,Для детей,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1107022,Спектакль-шутка «Предложение» по мотивам одноименной пьесы А. П. Чехова,https://myhistoryperm--events.timepad.ru/event/1107022/,,2019-11-03T18:00:00+0300,,2019,6,11,autumn,18,1,,,459,Театры,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1107026,Кем быть или не быть? Владимир Определенов,https://artsmuseum.timepad.ru/event/1107026/,,2019-11-07T18:30:00+0300,,2019,3,11,autumn,18,0,,,525,Искусство и культура,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
